x  y   lat     lon    sand clay color  fractional coverage of grid by vegetation class (Must/Should Add to 1.0)
      (Deg)   (Deg)    (%/100)  index  1    2    3    4    5    6    7    8    9   10  11  12   13   14   15   16   17   18
1 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
2 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
6 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
7 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
8 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
9 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
10 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
11 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
12 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
13 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
14 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
15 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
16 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
17 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
18 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
19 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
20 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
21 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
22 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
23 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
24 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
25 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
26 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
27 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
28 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
29 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
30 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
31 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
32 1 32.42 -110.78 0.16 0.26 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
